channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim, PCA, no pruning)
HP1 ( 9148, 1381599) 0.1060 29.0927 5052.397 25107.27 0.5523 0.01817
HP4 ( 255, 1381599) 0.1336 1.7636 139.9395 6156.305 0.5488 0.004456
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim, PCA, no pruning, missing P4 like in full sim., split signal for training)
HP3 ( 696, 1381599) 0.1414 6.81575 386.9619 2836.401 0.556 0.002053
HP17 ( 1992, 1381599) 0.1572 19.2057 983.7689 1640.012 0.4939 0.001187
HP20 ( 1421, 1381599) 0.1727 15.6675 621.6543 952.6869 0.4375 0.0006896
BP21 ( 9647, 1381599) 0.0926 22.2555 5079.093 47004.07 0.5265 0.03402
BP23 ( 14929, 1381599) 0.0846 35.953 8825.531 51431.96 0.5912 0.03723
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim, PCA, no pruning, missing P4 like in full sim., split signal for training, no Mlv)
HP3 ( 696, 1381599) 0.1496 6.8401 355.4786 2345.379 0.5107 0.001698
HP17 ( 1992, 1381599) 0.1489 18.7944 1046.49 2053.877 0.5253 0.001487
HP20 ( 1421, 1381599) 0.1847 15.9824 504.7494 492.6411 0.3552 0.0003566
BP21 ( 9647, 1381599) 0.0950 22.5107 4983.082 44019.43 0.5165 0.03186
BP23 ( 14929, 1381599) 0.0946 36.2157 8147.032 42459.31 0.5457 0.03073
