channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg  (no smear, wrong boost, all vars)
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
BP18 ( 13315, 1077891) 0.0997 63.4883 8050.947 8029.817 0.6047 0.00745
HP2 ( 613, 1077891) 0.1494 5.3969 256.4128 2000.893 0.4183 0.001856
HP3 ( 673, 1077891) 0.1191 3.50398 258.7653 5194.916 0.3845 0.00482
HP5 ( 177, 1077891) 0.1445 1.66472 83.30974 2421.127 0.4707 0.002246
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
BP18 ( 13315, 1077400) 0.0887 59.8693 8389.031 11245.25 0.63 0.01044
HP2 ( 613, 1077400) 0.1405 4.88654 287.6822 3178.279 0.4693 0.00295
HP3 ( 673, 1077400) 0.1510 3.35298 156.8899 2032.525 0.2331 0.001887
HP5 ( 177, 1077400) 0.1708 1.69415 59.29332 1165.623 0.335 0.001082
HP6 ( 15, 1077400) 0.1151 0.0944189 7.385769 6111.519 0.4924 0.005672
HP11 ( 8311, 1077400) 0.1480 59.5446 5074.761 2188.752 0.6106 0.002032
HP12 ( 4317, 1077400) 0.1497 35.5089 2473.243 2378.06 0.5729 0.002207
HP13 ( 6391, 1077400) 0.1655 54.6123 3933.435 1254.128 0.6155 0.001164
HP14 ( 2533, 1077400) 0.1572 20.7862 1128.69 1819.791 0.4456 0.001689
HP15 ( 5457, 1077400) 0.1518 44.6248 3265.465 2089.257 0.5984 0.001939
HP16 ( 4808, 1077400) 0.1660 44.9569 2896.927 1255.313 0.6025 0.001165
HP17 ( 1577, 1077400) 0.1620 14.8848 687.2649 1444.622 0.4358 0.001341
HP18 ( 3698, 1077400) 0.1723 36.9174 2009.798 953.9631 0.5435 0.0008854
HP19 ( 2767, 1077400) 0.1763 29.3001 1423.969 937.9322 0.5146 0.0008706
HP20 ( 1484, 1077400) 0.1763 17.8011 726.1648 937.9322 0.4893 0.0008706
BP21 ( 9407, 1077400) 0.0831 21.7265 5012.87 48221.83 0.5329 0.04476
BP23 ( 14572, 1077400) 0.0896 36.7592 8182.831 41370.73 0.5615 0.0384
HP1 ( 8869, 1077400) 0.1160 26.7439 4285.099 21387.66 0.4832 0.01985
HP4 ( 239, 1077400) 0.0382 0.530841 177.0409 111051.9 0.7408 0.1031
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (no smear, smeared EFlow)
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (no smear, smeared EFlow)
BP18 ( 13315, 1074253) 0.1094 71.3435 8626.72 5994.446 0.6479 0.00558
HP2 ( 613, 1074253) 0.1596 13.9439 370.6602 335.9561 0.6047 0.0003127
HP3 ( 673, 1074253) 0.1448 7.89029 381.1688 1952.553 0.5664 0.001818
HP5 ( 177, 1074253) 0.1709 4.03786 96.50187 474.6732 0.5452 0.0004419
HP6 ( 15, 1074253) 0.2771 0.809359 0.6550624 0 0.04367 0
HP11 ( 8311, 1074253) 0.1196 62.6232 5741.142 2663.641 0.6908 0.00248
HP12 ( 4317, 1074253) 0.1410 37.4082 2445.905 1829.179 0.5666 0.001703
HP13 ( 6391, 1074253) 0.1288 59.2444 4436.699 1171.527 0.6942 0.001091
HP14 ( 2533, 1074253) 0.1410 24.3443 1464.099 2152.875 0.578 0.002004
HP15 ( 5457, 1074253) 0.1152 47.0359 3955.612 3116.808 0.7249 0.002901
HP16 ( 4808, 1074253) 0.1382 49.5193 3219.435 1007.353 0.6696 0.0009377
HP17 ( 1577, 1074253) 0.1400 26.7973 1162.602 719.663 0.7372 0.0006699
HP18 ( 3698, 1074253) 0.1265 40.2976 2624.839 1617.914 0.7098 0.001506
HP19 ( 2767, 1074253) 0.1490 33.4166 1706.952 902.3176 0.6169 0.0008399
HP20 ( 1484, 1074253) 0.1401 20.2728 957.1653 1272.019 0.645 0.001184
BP21 ( 9407, 1074253) 0.0866 22.2057 5190.012 49436.96 0.5517 0.04602
BP23 ( 14584, 1074253) 0.0798 37.3743 8811.041 46767.73 0.6042 0.04354
HP1 ( 8869, 1074253) 0.0986 28.2049 4976.163 26151.08 0.5611 0.02434
HP4 ( 239, 1074253) 0.1187 1.66638 142.3824 7158.297 0.5957 0.006664
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
BP18 ( 13315, 1077400) 0.1121 71.3462 8456.425 5592.134 0.6351 0.00519
HP2 ( 613, 1077400) 0.1617 14.0662 380.8737 352.3001 0.6213 0.000327
HP3 ( 673, 1077400) 0.1488 8.28551 342.4997 1366.265 0.5089 0.001268
HP5 ( 177, 1077400) 0.2436 4.27173 31.74545 23.48209 0.1794 2.18e-05
HP6 ( 15, 1077400) 0.2910 0.835607 0.6982389 0 0.04655 0
HP11 ( 8311, 1077400) 0.1191 62.2145 5735.392 2763.119 0.6901 0.002565
HP12 ( 4317, 1077400) 0.1383 38.0077 2530.4 1901.971 0.5861 0.001765
HP13 ( 6391, 1077400) 0.1284 57.7263 4490.647 1560.952 0.7027 0.001449
HP14 ( 2533, 1077400) 0.1341 24.8788 1496.393 2121.306 0.5908 0.001969
HP15 ( 5457, 1077400) 0.1335 47.2471 3469.914 1923.801 0.6359 0.001786
HP16 ( 4808, 1077400) 0.1435 48.2306 3183.761 1173.726 0.6622 0.001089
HP17 ( 1577, 1077400) 0.1543 25.5712 1046.169 627.6178 0.6634 0.0005825
HP18 ( 3698, 1077400) 0.1511 39.3341 2208.788 944.5461 0.5973 0.0008767
HP19 ( 2767, 1077400) 0.1399 32.8504 1832.801 1279.981 0.6624 0.001188
HP20 ( 1484, 1077400) 0.1477 19.3302 903.6146 1281.604 0.6089 0.00119
BP21 ( 9400, 1077400) 0.0825 22.6179 5330.73 50217.55 0.5671 0.04661
BP23 ( 14579, 1077400) 0.0937 37.9293 7374.69 30429.34 0.5058 0.02824
HP1 ( 8869, 1077400) 0.0940 28.7312 5117.128 26603.75 0.577 0.02469
HP4 ( 239, 1077400) 0.1131 1.68538 154.238 8220.8 0.6453 0.00763
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
BP18 ( 13315, 1074253) 0.1040 66.7375 7773.57 5793.989 0.5838 0.005394
HP2 ( 613, 1074253) 0.1306 4.88686 276.8957 2933.606 0.4517 0.002731
HP3 ( 673, 1074253) 0.1392 3.79618 188.8759 2286.608 0.2806 0.002129
HP5 ( 177, 1074253) 0.1475 1.81952 70.47747 1429.86 0.3982 0.001331
HP6 ( 15, 1074253) 0.1058 0.105977 7.999333 5689.453 0.5333 0.005296
HP11 ( 8311, 1074253) 0.1491 62.5513 5129.457 1595.201 0.6172 0.001485
HP12 ( 4317, 1074253) 0.1485 38.6661 2468.55 1607.354 0.5718 0.001496
HP13 ( 6391, 1074253) 0.1427 55.2094 4285.847 1740.397 0.6706 0.00162
HP14 ( 2533, 1074253) 0.1385 23.7223 1399.448 2080.728 0.5525 0.001937
HP15 ( 5457, 1074253) 0.1540 46.6065 3156.957 1431.26 0.5785 0.001332
HP16 ( 4808, 1074253) 0.1565 44.9483 2868.486 1204.179 0.5966 0.001121
HP17 ( 1577, 1074253) 0.1541 15.3423 667.1246 1223.625 0.423 0.001139
HP18 ( 3698, 1074253) 0.1588 36.8124 2097.848 1149.738 0.5673 0.00107
HP19 ( 2767, 1074253) 0.1665 29.1414 1370.879 842.1027 0.4954 0.0007839
HP20 ( 1484, 1074253) 0.1710 18.3578 708.3866 780.6303 0.4773 0.0007267
BP21 ( 9407, 1074253) 0.0783 21.801 5229.006 52299.82 0.5559 0.04868
BP23 ( 14572, 1074253) 0.0903 36.0175 7970.983 41006.59 0.547 0.03817
HP1 ( 8869, 1074253) 0.1136 26.7102 4376.272 22468.1 0.4934 0.02092
HP4 ( 239, 1074253) 0.0413 0.540729 175.7408 105454 0.7353 0.09816
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow)
BP18 ( 13315, 1078562) 0.1075 65.2267 7503.498 5730.078 0.5635 0.005313
HP2 ( 613, 1078562) 0.1088 4.5537 337.2039 5146.27 0.5501 0.004771
HP3 ( 673, 1078562) 0.1617 4.02214 135.8075 1004.267 0.2018 0.0009311
HP5 ( 177, 1078562) 0.1490 1.71195 72.9966 1745.136 0.4124 0.001618
HP6 ( 15, 1078562) 0.0792 0.091286 9.675622 11224.71 0.645 0.01041
HP11 ( 8311, 1078562) 0.1426 62.7837 5389.583 1979.558 0.6485 0.001835
HP12 ( 4317, 1078562) 0.1493 38.6673 2475.214 1622.472 0.5734 0.001504
HP13 ( 6391, 1078562) 0.1515 55.2406 4109.656 1425.048 0.643 0.001321
HP14 ( 2533, 1078562) 0.1440 23.3417 1318.299 1871.505 0.5204 0.001735
HP15 ( 5457, 1078562) 0.1518 46.7019 3297.8 1688.515 0.6043 0.001566
HP16 ( 4808, 1078562) 0.1569 45.005 2959.531 1364.852 0.6155 0.001265
HP17 ( 1577, 1078562) 0.1637 14.8205 602.8426 1051.715 0.3823 0.0009751
HP18 ( 3698, 1078562) 0.1571 37.6806 2213.932 1238.247 0.5987 0.001148
HP19 ( 2767, 1078562) 0.1709 30.651 1390.706 667.9389 0.5026 0.0006193
HP20 ( 1484, 1078562) 0.1652 19.0285 752.0412 809.9415 0.5068 0.0007509
BP21 ( 9407, 1078562) 0.0764 22.1443 5280.18 51575.35 0.5613 0.04782
BP23 ( 14572, 1078562) 0.0967 37.1487 7440.812 32678.57 0.5106 0.0303
HP1 ( 8869, 1078562) 0.1044 26.9741 4797.867 26839.63 0.541 0.02488
HP4 ( 239, 1078562) 0.0374 0.531705 175.2032 108403 0.7331 0.1005
HP18 ( 3698, 1074253) 0.1562 38.2789 2239.3 1182.902 0.6055 0.001101
HP19 ( 2767, 1074253) 0.1572 30.0973 1536.22 1069.051 0.5552 0.0009952
HP20 ( 1484, 1074253) 0.1744 18.0903 667.2285 693.1492 0.4496 0.0006452
BP21 ( 9407, 1074253) 0.0740 21.5413 5424.954 57998.53 0.5767 0.05399
BP23 ( 14572, 1074253) 0.0968 36.45 7560.497 35463.04 0.5188 0.03301
HP1 ( 8869, 1074253) 0.1092 27.0207 4575.78 24101.35 0.5159 0.02244
HP4 ( 239, 1074253) 0.0497 0.544299 163.5863 90163.58 0.6845 0.08393
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (smear, new steering card)
BP18 ( 13344, 1298938) 0.1188 62.0289 6547.735 4595.055 0.4907 0.003538
HP2 ( 623, 1298938) 0.0785 2.96527 374.7512 15597.22 0.6015 0.01201
HP3 ( 727, 1298938) 0.1643 2.95812 105.937 1176.577 0.1457 0.0009058
HP5 ( 194, 1298938) 0.1028 1.10754 101.9039 8363.828 0.5253 0.006439
HP6 ( 17, 1298938) 0.0591 0.0695865 10.78214 23997.43 0.6342 0.01847
HP11 ( 8413, 1298938) 0.1380 59.0474 5269.667 2694.95 0.6264 0.002075
HP12 ( 4381, 1298938) 0.1614 34.9162 1942.255 1152.022 0.4433 0.0008869
HP13 ( 6489, 1298938) 0.1504 50.7008 3839.241 1894.81 0.5917 0.001459
HP14 ( 2589, 1298938) 0.1594 20.6396 1009.583 1383.089 0.39 0.001065
HP15 ( 5585, 1298938) 0.1444 41.7274 3165.739 2590.093 0.5668 0.001994
HP16 ( 4936, 1298938) 0.1570 41.0268 2604.259 1425.064 0.5276 0.001097
HP17 ( 1589, 1298938) 0.1384 10.0553 561.0163 2551.835 0.3531 0.001965
HP18 ( 3826, 1298938) 0.1611 33.3241 1854.87 1243.331 0.4848 0.0009572
HP19 ( 2867, 1298938) 0.1517 24.671 1451.07 2008.347 0.5061 0.001546
HP20 ( 1568, 1298938) 0.1753 15.2613 584.4699 882.2327 0.3727 0.0006792
BP21 ( 9387, 1298938) 0.0765 21.4675 5498.769 60110.64 0.5858 0.04628
BP23 ( 14435, 1298938) 0.0990 35.4238 7453.908 36823.1 0.5164 0.02835
HP1 ( 8910, 1298938) 0.1192 25.9756 4111.77 20945.09 0.4615 0.01612
HP4 ( 260, 1298938) 0.0338 0.523194 189.2468 130648 0.7279 0.1006
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim)
BP18 ( 13179, 1326306) 0.1368 52.9418 5623.453 5659.127 0.4267 0.004267
HP2 ( 832, 1326306) 0.0632 2.68002 496.9429 33885.63 0.5973 0.02555
HP3 ( 665, 1326306) 0.1410 3.28254 240.5543 5129.842 0.3617 0.003868
HP5 ( 145, 1326306) 0.0949 0.615748 81.60709 17483.44 0.5628 0.01318
HP6 ( 19, 1326306) 0.0416 0.0559771 12.66834 51204.86 0.6668 0.03861
HP11 ( 7772, 1326306) 0.1691 49.6504 3721.347 1896.314 0.4788 0.00143
HP12 ( 4105, 1326306) 0.1646 29.7995 1949.683 2330.974 0.475 0.001757
HP13 ( 5658, 1326306) 0.1651 36.7936 2408.129 1875.536 0.4256 0.001414
HP14 ( 2446, 1326306) 0.1627 18.3079 1081.642 2408.883 0.4422 0.001816
HP15 ( 5094, 1326306) 0.1639 36.7362 2557.44 2289.004 0.502 0.001726
HP16 ( 4230, 1326306) 0.1613 28.3294 1858.177 2444.124 0.4393 0.001843
HP17 ( 1675, 1326306) 0.1027 6.94606 827.3513 13360.03 0.4939 0.01007
HP18 ( 3270, 1326306) 0.1794 25.1604 1231.822 1165.132 0.3767 0.0008785
HP19 ( 2378, 1326306) 0.1562 15.5897 981.814 2984.477 0.4129 0.00225
HP20 ( 1322, 1326306) 0.1753 11.6096 546.8964 1672.195 0.4137 0.001261
BP21 ( 9437, 1326306) 0.0818 21.1913 5401.629 59571.77 0.5724 0.04492
BP23 ( 14607, 1326306) 0.1088 35.1481 6825.79 30888.2 0.4673 0.02329
HP1 ( 8933, 1326306) 0.1187 26.0324 4311.87 23123.09 0.4827 0.01743
HP4 ( 246, 1326306) 0.0530 0.528291 170.16 103575.1 0.6917 0.07809
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (<<withSmear1_smearedEFlow_moreVars>>)
BP18 ( 13312, 1078562) 0.0953 65.9577 8224.064 7322.767 0.6178 0.006789
HP2 ( 613, 1078562) 0.1165 4.6483 313.0837 4223.531 0.5107 0.003916
HP3 ( 673, 1078562) 0.1192 3.85624 247.8834 3884.183 0.3683 0.003601
HP5 ( 176, 1078562) 0.1308 1.69284 90.3036 2755.337 0.5131 0.002555
HP6 ( 15, 1078562) 0.0799 0.0927607 9.454844 10379.72 0.6303 0.009624
HP11 ( 8309, 1078562) 0.1294 62.6062 5818.742 2819.466 0.7003 0.002614
HP12 ( 4318, 1078562) 0.1411 38.3853 2621.799 2043.393 0.6072 0.001895
HP13 ( 6391, 1078562) 0.1542 55.0533 4099.324 1445.125 0.6414 0.00134
HP14 ( 2533, 1078562) 0.1479 23.3657 1258.877 1643.874 0.497 0.001524
HP15 ( 5454, 1078562) 0.1406 46.2773 3503.255 2227.444 0.6423 0.002065
HP16 ( 4807, 1078562) 0.1624 46.4725 2845.044 902.8449 0.5919 0.0008371
HP17 ( 1578, 1078562) 0.1512 14.753 675.4613 1420.781 0.428 0.001317
HP18 ( 3698, 1078562) 0.1527 37.5885 2350.699 1560.273 0.6357 0.001447
HP19 ( 2766, 1078562) 0.1578 29.9664 1556.97 1142.585 0.5629 0.001059
HP20 ( 1483, 1078562) 0.1609 18.7382 835.6804 1153.279 0.5635 0.001069
BP21 ( 9403, 1078562) 0.0749 22.0787 5384.588 54093.87 0.5726 0.05015
BP23 ( 14578, 1078562) 0.0959 37.1096 7496.299 33309.54 0.5142 0.03088
HP1 ( 8868, 1078562) 0.1127 26.7712 4265.319 21119.1 0.481 0.01958
HP4 ( 239, 1078562) 0.0359 0.537351 177.2689 108652.9 0.7417 0.1007
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, defaultSelectedPFOs)
BP18 ( 13678, 1375557) 0.1261 57.2335 6677.368 6934.264 0.4882 0.005041
HP2 ( 1040, 1375557) 0.0672 3.51051 609.68 29552.51 0.5862 0.02148
HP3 ( 696, 1375557) 0.1301 3.27658 258.5103 5966.135 0.3714 0.004337
HP5 ( 173, 1375557) 0.0890 0.792598 103.942 17093.98 0.6008 0.01243
HP6 ( 25, 1375557) 0.0461 0.0786448 16.99652 46689.81 0.6799 0.03394
HP11 ( 8198, 1375557) 0.1614 52.5004 4190.256 2179.989 0.5111 0.001585
HP12 ( 4321, 1375557) 0.1499 31.905 2358.762 3106.992 0.5459 0.002259
HP13 ( 6152, 1375557) 0.1549 40.6011 3117.269 2777.582 0.5067 0.002019
HP14 ( 2566, 1375557) 0.1670 19.5951 1028.358 1725.818 0.4008 0.001255
HP15 ( 5364, 1375557) 0.1631 38.5871 2656.687 2083.501 0.4953 0.001515
HP16 ( 4595, 1375557) 0.1675 33.0298 2045.967 1790.983 0.4453 0.001302
HP17 ( 1992, 1375557) 0.0864 8.10042 1101.432 17386.98 0.5529 0.01264
HP18 ( 3535, 1375557) 0.1778 27.5743 1464.524 1356.342 0.4143 0.000986
HP19 ( 2637, 1375557) 0.1763 18.7919 872.4697 1283.079 0.3309 0.0009328
HP20 ( 1421, 1375557) 0.1676 13.0723 645.2196 1790.983 0.4541 0.001302
BP21 ( 9639, 1375557) 0.0907 21.3045 5062.224 51397.72 0.5252 0.03737
BP23 ( 14924, 1375557) 0.1019 35.505 7842.692 40949.7 0.5255 0.02977
HP1 ( 9148, 1375557) 0.1086 26.4982 5139.392 32478.22 0.5618 0.02361
HP4 ( 255, 1375557) 0.0453 0.537062 183.4241 116461.1 0.7193 0.08466
